,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,461.99575,461.99575,462.02525,0.029500000000041382,False,0.1694999999999709,0.19900000000001228,1,0.5253694706095888,462.01025,0.014499999999998181,0.015000000000043201,33.89830508469821,0.011343147483001753
MeanVar1,462.19475,462.19475,462.2245,0.029749999999978627,False,0.16925000000003365,0.19900000000001228,1,0.527457274442336,462.2095,0.01474999999999227,0.014999999999986358,33.613445378175406,0.011507887322978673
MeanVar1,462.39375,462.39375,462.42400000000004,0.030250000000023647,False,0.16874999999998863,0.19900000000001228,1,0.5337714808685239,462.4085,0.01474999999999227,0.015500000000031378,33.05785123964358,0.011765153655274517
MeanVar1,462.59275,462.59275,462.6235,0.03074999999995498,False,0.1672500000000241,0.19799999999997908,1,0.5379725255568462,462.60775,0.014999999999986358,0.015749999999968622,32.52032520329964,0.011977689773388261
MeanVar1,462.79075,462.79075,462.82275,0.031999999999982265,False,0.16775000000001228,0.19974999999999454,1,0.5751082387883071,462.807,0.016250000000013642,0.015749999999968622,31.25000000001732,0.013139804589076695
MeanVar1,462.9905,462.9905,463.02225,0.03174999999998818,False,0.1672500000000241,0.19900000000001228,1,0.562309690390012,463.00625,0.015750000000025466,0.01599999999996271,31.496062992137713,0.01279750539062131
MeanVar1,463.1895,463.1895,463.22125,0.03174999999998818,False,0.1675000000000182,0.19925000000000637,1,0.5474990614941725,463.20550000000003,0.016000000000019554,0.015749999999968622,31.496062992137713,0.012502003797292304
MeanVar1,463.38875,463.38875,463.42075,0.031999999999982265,False,0.1675000000000182,0.19950000000000045,1,0.5537523987139374,463.40500000000003,0.016250000000013642,0.015749999999968622,31.25000000001732,0.012719376977778475
MeanVar1,463.58825,463.58825,463.62025,0.031999999999982265,False,0.1672500000000241,0.19925000000000637,1,0.5552838489983078,463.60475,0.01650000000000773,0.015499999999974534,31.25000000001732,0.012799479892502857
MeanVar1,463.7875,463.7875,463.81975,0.03224999999997635,False,0.16674999999997908,0.19899999999995543,1,0.5559090642625737,463.80400000000003,0.01650000000000773,0.015749999999968622,31.00775193800723,0.012881236427266622
MeanVar1,463.9865,463.9865,464.019,0.032500000000027285,False,0.166499999999985,0.19900000000001228,1,0.5549739719251708,464.00325000000004,0.016750000000058662,0.015749999999968622,30.76923076920494,0.01297958826050773
MeanVar1,464.1855,464.1855,464.21775,0.0322500000000332,False,0.16724999999996726,0.19950000000000045,1,0.5535274081682613,464.20225,0.01675000000000182,0.015500000000031378,31.007751937952577,0.01293921719583617
MeanVar1,464.385,464.385,464.417,0.031999999999982265,False,0.16700000000003,0.19900000000001228,1,0.5491558463116155,464.40125,0.016250000000013642,0.015749999999968622,31.25000000001732,0.012809321711850574
MeanVar1,464.584,464.584,464.61625,0.03224999999997635,False,0.1675000000000182,0.19974999999999454,1,0.5472394834387289,464.6,0.016000000000019554,0.0162499999999568,31.00775193800723,0.012777940445666706
MeanVar1,464.78375,464.78375,464.81575,0.031999999999982265,False,0.16700000000003,0.19900000000001228,1,0.5446445386605354,464.7995,0.015750000000025466,0.0162499999999568,31.25000000001732,0.012662850984849842
MeanVar1,464.98275,464.98275,465.0145,0.03174999999998818,False,0.1685000000000514,0.20025000000003956,1,0.5516810943537824,464.99825,0.015499999999974534,0.016250000000013642,31.496062992137713,0.01265674285563588
MeanVar1,465.18300000000005,465.18300000000005,465.2155,0.03249999999997044,False,0.16699999999997317,0.1994999999999436,1,0.578015547734823,465.19875,0.015749999999968622,0.01675000000000182,30.769230769258755,0.013528226844663099
MeanVar1,465.3825,465.3825,465.414,0.03149999999999409,False,0.16800000000000637,0.19950000000000045,1,0.5355162554298319,465.39750000000004,0.015000000000043201,0.016499999999950887,31.746031746037705,0.012262430008507783
MeanVar1,465.582,465.582,465.61300000000006,0.031000000000062755,False,0.1684999999999377,0.19950000000000045,1,0.5355397710882697,465.59675,0.01474999999999227,0.016250000000070486,32.25806451606373,0.012100298721052992
MeanVar1,465.7815,465.7815,465.8125,0.03100000000000591,False,0.16899999999998272,0.19999999999998863,1,0.5347072529500484,465.79650000000004,0.015000000000043201,0.01599999999996271,32.25806451612288,0.012025249814237063
MeanVar1,465.9815,465.9815,466.01225,0.030750000000011823,False,0.16874999999998863,0.19950000000000045,1,0.5324778540107564,465.99625000000003,0.014750000000049113,0.01599999999996271,32.52032520323953,0.011919897404521719
MeanVar1,466.181,466.181,466.2115,0.030500000000017735,False,0.1692499999999768,0.19974999999999454,1,0.5310211010078956,466.19575000000003,0.014750000000049113,0.015749999999968622,32.78688524588257,0.011761784129636276
MeanVar1,466.38075,466.38075,466.411,0.030250000000023647,False,0.1694999999999709,0.19974999999999454,1,0.5298294415513591,466.39525000000003,0.014500000000055024,0.015749999999968622,33.05785123964358,0.01164119779718765
MeanVar1,466.5805,466.5805,466.61025,0.02975000000003547,False,0.16974999999996498,0.19950000000000045,1,0.5288959590907149,466.595,0.014500000000055024,0.015249999999980446,33.61344537811119,0.011483027028589055
MeanVar1,466.78,466.78,466.80975,0.02975000000003547,False,0.17000000000001592,0.1997500000000514,1,0.5257902080046524,466.79475,0.014750000000049113,0.014999999999986358,33.61344537811119,0.011377872910689838
MeanVar1,466.97975,466.97975,467.00925,0.02949999999998454,False,0.17025000000001,0.19974999999999454,1,0.5220384982198464,466.99425,0.014499999999998181,0.014999999999986358,33.89830508476353,0.011221300488668281
MeanVar1,467.1795,467.1795,467.209,0.02949999999998454,False,0.17025000000001,0.19974999999999454,1,0.5174130108494615,467.194,0.014499999999998181,0.014999999999986358,33.89830508476353,0.011143026384637211
MeanVar1,467.37925,467.37925,467.40975,0.03049999999996089,False,0.16950000000002774,0.19999999999998863,1,0.5698658442114384,467.39425,0.014999999999986358,0.015499999999974534,32.78688524594368,0.012507451096904003
MeanVar1,467.57925,467.57925,467.6085,0.02924999999999045,False,0.17074999999999818,0.19999999999998863,1,0.5213740188383278,467.59375,0.014499999999998181,0.01474999999999227,34.18803418804535,0.01114719150206734
MeanVar1,467.77925,467.77925,467.8085,0.02924999999999045,False,0.17074999999999818,0.19999999999998863,1,0.5221961426294013,467.79375,0.014499999999998181,0.01474999999999227,34.18803418804535,0.01115625861257164
MeanVar1,467.97925,467.97925,468.00825,0.028999999999996362,False,0.17075000000005502,0.1997500000000514,1,0.5232945937260397,467.9935,0.014250000000004093,0.01474999999999227,34.48275862069398,0.011152552313729504
MeanVar1,468.17900000000003,468.17900000000003,468.20825,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5223204703109413,468.19350000000003,0.014499999999998181,0.01474999999999227,34.18803418804535,0.011161069222659423
MeanVar1,468.37875,468.37875,468.408,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5240666072134931,468.39325,0.014499999999998181,0.01474999999999227,34.18803418804535,0.011204680758238689
MeanVar1,468.5785,468.5785,468.60775,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5241959229121955,468.59275,0.014250000000004093,0.014999999999986358,34.18803418804535,0.011228788177096835
MeanVar1,468.77825,468.77825,468.8075,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5250566395722054,468.7925,0.014250000000004093,0.014999999999986358,34.18803418804535,0.011252147489167074
MeanVar1,468.978,468.978,469.0075,0.02949999999998454,False,0.17000000000001592,0.19950000000000045,1,0.525423671851593,468.9925,0.014499999999998181,0.014999999999986358,33.89830508476353,0.011306534597356841
MeanVar1,469.1775,469.1775,469.2075,0.029999999999972715,False,0.17025000000001,0.20024999999998272,1,0.5350599280397659,469.19225,0.01474999999999227,0.015249999999980446,33.33333333336365,0.011693269965441217
MeanVar1,469.37775,469.37775,469.40725,0.02949999999998454,False,0.1705000000000041,0.19999999999998863,1,0.5356061270496664,469.39225,0.014499999999998181,0.014999999999986358,33.89830508476353,0.011521330336534342
MeanVar1,469.57775,469.57775,469.60699999999997,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5214856801813919,469.592,0.014250000000004093,0.014999999999986358,34.18803418804535,0.011209852393134568
MeanVar1,469.7775,469.7775,469.80699999999996,0.02949999999998454,False,0.17000000000001592,0.19950000000000045,1,0.5245669786739465,469.79200000000003,0.014500000000055024,0.014999999999929514,33.89830508476353,0.011317822918882824
MeanVar1,469.977,469.977,470.0065,0.029500000000041382,False,0.17049999999994725,0.19999999999998863,1,0.5246206279837591,469.99150000000003,0.014500000000055024,0.014999999999986358,33.89830508469821,0.011360929784501619
MeanVar1,470.17699999999996,470.17699999999996,470.20675,0.02975000000003547,False,0.17024999999995316,0.19999999999998863,1,0.5253310699762772,470.1915,0.014500000000055024,0.015249999999980446,33.61344537811119,0.011412936789503439
MeanVar1,470.37699999999995,470.37699999999995,470.4065,0.029500000000041382,False,0.17025000000001,0.1997500000000514,1,0.5271567786961047,470.3915,0.014500000000055024,0.014999999999986358,33.89830508469821,0.011415788785040923
MeanVar1,470.57675,470.57675,470.6065,0.029749999999978627,False,0.17000000000001592,0.19974999999999454,1,0.5261030364322299,470.59125,0.014499999999998181,0.015249999999980446,33.613445378175406,0.011442752189256907
MeanVar1,470.7765,470.7765,470.80625,0.029749999999978627,False,0.17025000000001,0.19999999999998863,1,0.528936033609352,470.79125,0.01474999999999227,0.014999999999986358,33.613445378175406,0.0115184299075459
MeanVar1,470.9765,470.9765,471.00625,0.02975000000003547,False,0.16999999999995907,0.19974999999999454,1,0.527803151451245,470.99125000000004,0.014750000000049113,0.014999999999986358,33.61344537811119,0.01150201995977351
MeanVar1,471.17625,471.17625,471.20599999999996,0.029749999999978627,False,0.16950000000002774,0.19925000000000637,1,0.528848006721076,471.19075000000004,0.014500000000055024,0.015249999999923602,33.613445378175406,0.011534343466281427
MeanVar1,471.3755,471.3755,471.40625,0.030750000000011823,False,0.1692499999999768,0.19999999999998863,1,0.5679425192548577,471.39075,0.01525000000003729,0.015499999999974534,32.52032520323953,0.012569691538250525
MeanVar1,471.5755,471.5755,471.60575,0.030250000000023647,False,0.17000000000001592,0.20025000000003956,1,0.5321689052206432,471.59025,0.014750000000049113,0.015499999999974534,33.05785123964358,0.011714241209102992
MeanVar1,471.77575,471.77575,471.80575,0.029999999999972715,False,0.17025000000001,0.20024999999998272,1,0.526494671950402,471.7905,0.01474999999999227,0.015249999999980446,33.33333333336365,0.011533591232571664
MeanVar1,471.976,471.976,472.00575,0.029749999999978627,False,0.17000000000001592,0.19974999999999454,1,0.5283972456858149,471.9905,0.014499999999998181,0.015249999999980446,33.613445378175406,0.011533805589968606
MeanVar1,472.17575,472.17575,472.2055,0.029749999999978627,False,0.16975000000002183,0.19950000000000045,1,0.5306974302894942,472.19025,0.014499999999998181,0.015249999999980446,33.613445378175406,0.011589864930149948
MeanVar1,472.37525,472.37525,472.4055,0.030250000000023647,False,0.16899999999998272,0.19925000000000637,1,0.5308797856620491,472.39,0.01474999999999227,0.015500000000031378,33.05785123964358,0.011694020272633852
MeanVar1,472.5745,472.5745,472.605,0.030500000000017735,False,0.1694999999999709,0.19999999999998863,1,0.5363726261761523,472.5895,0.014999999999986358,0.015500000000031378,32.78688524588257,0.011897537800411011
MeanVar1,472.7745,472.7745,472.805,0.030500000000017735,False,0.1692499999999768,0.19974999999999454,1,0.5364562010933824,472.78925000000004,0.014750000000049113,0.015749999999968622,32.78688524588257,0.011905588912012302
MeanVar1,472.97425,472.97425,473.00475,0.030500000000017735,False,0.1694999999999709,0.19999999999998863,1,0.5372541253281442,472.98925,0.015000000000043201,0.015499999999974534,32.78688524588257,0.011908235303196004
MeanVar1,473.17425,473.17425,473.20475,0.030500000000017735,False,0.16925000000003365,0.1997500000000514,1,0.5384650901928698,473.189,0.014750000000049113,0.015749999999968622,32.78688524588257,0.011942459488416813
MeanVar1,473.374,473.374,473.4045,0.03049999999996089,False,0.16950000000002774,0.19999999999998863,1,0.5363477601194416,473.389,0.014999999999986358,0.015499999999974534,32.78688524594368,0.011916148880354239
MeanVar1,473.574,473.574,473.60525,0.03125,False,0.16874999999998863,0.19999999999998863,1,0.57939695975991,473.58925,0.015249999999980446,0.016000000000019554,32.0,0.01298462673067465
MeanVar1,473.774,473.774,473.8045,0.030500000000017735,False,0.16974999999996498,0.20024999999998272,1,0.536196888842123,473.789,0.014999999999986358,0.015500000000031378,32.78688524588257,0.011893422551272346
MeanVar1,473.97425,473.97425,474.0045,0.030250000000023647,False,0.16974999999996498,0.19999999999998863,1,0.5349641849990383,473.98900000000003,0.014750000000049113,0.015499999999974534,33.05785123964358,0.011815888642913087
MeanVar1,474.17425,474.17425,474.2045,0.030250000000023647,False,0.16975000000002183,0.20000000000004547,1,0.53590963813864,474.189,0.014750000000049113,0.015499999999974534,33.05785123964358,0.011854887439294765
MeanVar1,474.37425,474.37425,474.40475,0.03049999999996089,False,0.16950000000002774,0.19999999999998863,1,0.5345205879488174,474.38925,0.014999999999986358,0.015499999999974534,32.78688524594368,0.011860014362307096
MeanVar1,474.57425,474.57425,474.60475,0.030500000000017735,False,0.16974999999996498,0.20024999999998272,1,0.537191837082267,474.589,0.01474999999999227,0.015750000000025466,32.78688524588257,0.011902088400751598
MeanVar1,474.7745,474.7745,474.80475,0.030250000000023647,False,0.16999999999995907,0.20024999999998272,1,0.5361710665771222,474.78925000000004,0.014750000000049113,0.015499999999974534,33.05785123964358,0.011842612338723312
MeanVar1,474.97475,474.97475,475.00475,0.03000000000002956,False,0.17000000000001592,0.20000000000004547,1,0.5352472059989614,474.98925,0.014500000000055024,0.015499999999974534,33.33333333330049,0.011773361763018114
MeanVar1,475.17475,475.17475,475.205,0.030249999999966803,False,0.16975000000002183,0.19999999999998863,1,0.5334483595590405,475.1895,0.01474999999999227,0.015499999999974534,33.0578512397057,0.011775758837548753
MeanVar1,475.37475,475.37475,475.40475,0.029999999999972715,False,0.16975000000002183,0.19974999999999454,1,0.5339160967281206,475.38925,0.014499999999998181,0.015499999999974534,33.33333333336365,0.011732479729226333
MeanVar1,475.5745,475.5745,475.60525,0.030750000000011823,False,0.1694999999999709,0.20024999999998272,1,0.5695925321735089,475.58925,0.01474999999999227,0.016000000000019554,32.52032520323953,0.012576333863507252
MeanVar1,475.77475,475.77475,475.805,0.030250000000023647,False,0.16974999999996498,0.19999999999998863,1,0.5403416538224943,475.78950000000003,0.014750000000049113,0.015499999999974534,33.05785123964358,0.011895487901160526
